"country","SFTGcode","COW","risk_in_2021","risk_in_2021_22","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Pakistan","PAK",770,0.06876,0.1516,1,1,0,0,0,0,1,4.30406509320417,19.2131859507211,7.46324326281812,0.525527438790377,0,1,1,0.71,5.7268477475872,1,4,1,1,0,0,0,0.58,1,0,0,1,-0.715,3.26616052836509,0
"India","IND",750,0.06824,0.144,1,1,0,0,0,0,1,4.30406509320417,21.0453525136467,5.31977443130815,-7.9646104111382,0,1,0,0.42,6.14203740558736,1,3,1,2,0,0,0,0.715,0,0,0,1,0.118,3.59648680672971,0
"Democratic Republic of Congo","ZAI",490,0.05721,0.1073,1,1,1,0,0,0,0,4.11087386417331,18.3104350262133,8.13019064967114,0.773457031516656,1,1,1,0.87,6.8627579130514,1,4,1,3,0,0,0,0.589,0,0,0,1,-1.125,4.18046887483979,0
"Afghanistan","AFG",700,0.05084,0.1089,1,1,0,0,0,0,1,4.62497281328427,17.4772331037287,6.81909084849293,-1.9347782488959,0,1,0,0.77,9.92691106747972,1,4,0,2,0,0,0,0.772,0,0,0,1,-1.488,3.82037201924313,0
"Yemen","YEM",679,0.04348,0.1239,0,0,0,0,0,1,0,3.43398720448515,17.2108899814149,6.60302960768767,-0.059,0,1,1,0.135,7.76768727718691,1,4,1,0,1,0,0,0.23,1,0,0,1,-1.469,-2.79322133741372,0
"Somalia","SOM",520,0.0405,0.06796,1,1,1,0,0,0,0,4.11087386417331,16.5814030982354,8.60232526704263,-1.49516270888303,1,1,0,0.81,7.57198844937744,1,4,1,0,0,0,0,0.428,0,0,0,1,-0.685,4.78507388319083,0
"Ethiopia","ETI",530,0.03829,0.07419,1,1,1,0,0,0,0,7.65964295456468,18.5601259666119,6.04152298679729,6.05661779202561,0,1,1,0.72,7.2034055210831,1,4,2,3,0,0,0,0.476,0,0,0,1,1.312,3.17881324401403,0
"Sudan","SUD",625,0.03691,0.06911,1,1,1,0,0,0,0,4.17438726989564,17.596268606176,6.40312423743285,-1.56216179984276,0,1,1,0.71,3.8286413964891,1,3,1,2,0,0,0,0.497,0,0,0,1,-1.558,2.29808951044253,1
"Nigeria","NIG",475,0.03599,0.07116,1,1,1,0,0,0,0,4.11087386417331,19.1440641040781,8.61394218694321,-1.79425308233591,0,1,0,0.85,7.5999019592085,1,4,2,3,0,1,1,0.873,0,0,0,1,0.254,3.23474086524758,0
"Guinea","GUI",438,0.03175,0.0809,0,1,1,0,0,0,0,4.14313472639153,16.3906228664764,7.98749021908634,6.98855997075241,1,1,1,0.74,0,1,4,1,4,1,0,0,0.382,0,0,0,1,-0.209,4.50233862320749,0
"Burma/Myanmar","MYA",775,0.03066,0.05276,1,1,0,1,0,0,0,4.29045944114839,17.8120547323862,5.98331012066064,-9.99204468600205,0,1,0,0.51,5.08140436498446,1,4,1,3,0,0,0,0.761,1,0,0,1,0.525,4.03319486117348,0
"South Sudan","SSD",626,0.03025,0.05445,1,1,1,0,0,0,0,2.30258509299405,16.2308642687425,7.8993670632526,-0.052,0,1,1,0.73,4.07753744390572,1,4,1,3,0,0,0,0.156,1,0,0,1,-1.062,-1.27920538129296,0
"Chad","CHA",483,0.02947,0.06873,0,1,1,0,0,0,0,4.11087386417331,16.6143674192932,8.31264097624816,-0.890209999072951,1,1,1,0.86,5.28320372873799,0,3,0,3,0,0,1,0.478,0,0,0,1,-1.155,4.28172667698817,0
"Turkey","TUR",640,0.02881,0.06329,0,1,0,0,1,0,0,4.58496747867057,18.2503557438549,2.93257565972304,1.7566507625293,1,1,1,0.32,5.91620206260744,1,4,0,2,0,0,0,0.158,1,0,0,1,0.624,4.10914089661836,1
"Iraq","IRQ",645,0.0287,0.0546,1,1,0,0,0,1,0,4.48863636973214,17.5099371730924,4.6690470119715,-10.3650901764239,0,1,0,0.37,6.50876913697168,1,3,1,2,0,0,0,0.294,0,0,0,1,0.091,4.2830943966857,0
"Syria","SYR",652,0.0282,0.05577,1,1,0,0,0,1,0,4.31748811353631,16.6777489810462,4.23083916026124,-0.137931034482759,0,1,1,0.54,8.43163530305459,1,1,0,1,1,0,0,0.046,1,0,0,1,-1.591,-1.80660326761467,0
"Central African Republic","CEN",482,0.02642,0.03994,1,1,1,0,0,0,0,4.11087386417331,15.3903081631514,9,0,1,1,1,0.83,4.06044301054642,0,4,1,4,0,0,0,0.705,0,0,0,1,0.825,3.90772036235199,0
"Libya","LIB",620,0.0234,0.05783,0,1,0,0,0,1,0,4.24849524204936,15.7428619828978,3.14642654451046,-31.3,1,1,0,0.79,6.50578406012823,1,3,1,1,1,0,0,0.45,0,0,0,0,1.284,4.73670989433447,0
"Republic of the Congo","CON",484,0.02056,0.04974,0,1,1,0,0,0,0,4.11087386417331,15.5235427063279,5.90762219509677,-7.94871290192242,1,1,0,0.87,0,1,4,1,4,1,0,0,0.063,0,0,0,1,-0.188,4.73582802073633,0
"Thailand","THI",800,0.01867,0.04468,0,1,0,1,0,0,0,6.50876913697168,18.0611442525463,2.77488738510232,-6.08722028505679,0,1,1,0.63,3.89182029811063,1,4,1,4,0,0,0,0.167,0,0,0,1,0.041,4.5842486156115,0
"Mali","MLI",432,0.01723,0.03095,0,0,1,0,0,0,0,4.11087386417331,16.8237065358539,7.75886589650833,-1.64926140079287,1,1,0,0.69,6.33682573114644,1,4,1,3,0,1,0,0.882,0,0,0,1,0.001,4.09073090688714,1
"Mozambique","MZM",541,0.01712,0.03689,0,1,1,0,0,0,0,3.8286413964891,17.2577038390244,7.4027022093287,-1.28188697176552,0,1,0,0.69,6.82979373751243,1,4,1,4,0,1,0,0.657,0,0,0,0,1.056,4.75829592250018,0
"China","CHN",710,0.01585,0.02955,0,1,0,1,0,0,0,7.71512360363211,21.0612455082454,2.60768096208106,2.29999999995441,0,1,1,0.15,0,1,0,1,0,0,0,0,0.132,1,0,0,1,-0.187,3.54115895216896,0
"Uganda","UGA",500,0.0158,0.03602,0,1,1,0,0,0,0,4.07753744390572,17.6385056090222,5.77927331071996,2.85758127391374,1,1,1,0.93,0,1,4,1,3,0,0,0,0.46,0,1,0,1,0.102,3.54877043955724,0
"Burundi","BUI",516,0.01546,0.03705,0,1,1,0,0,0,0,4.07753744390572,16.2912739519597,6.3166446789415,0.297577119233125,0,1,1,0.3,4.78749174278205,1,3,1,4,1,0,0,0.251,0,1,0,1,0.792,3.49351148601474,0
"Tanzania","TAZ",510,0.01361,0.03025,0,1,1,0,0,0,0,4.0943445622221,17.9054154962911,6,2.00385826927847,0,1,0,0.74,3.25809653802148,0,4,2,3,0,1,1,0.708,0,0,0,0,1.064,3.38791730224176,0
"Indonesia","INS",850,0.01304,0.02752,0,1,0,1,0,0,0,4.27666611901606,19.4268985417277,4.49444101084885,-2.06954349906437,0,1,0,0.74,0,0,3,1,2,0,1,0,0.662,0,0,0,1,0.005,3.50226636140699,0
"Angola","ANG",540,0.01274,0.02467,0,1,1,0,0,0,0,3.8286413964891,17.3079574010137,7.08519583356734,-4.04051000025351,1,1,1,0.79,3.25809653802148,1,3,1,3,0,1,1,0.622,0,0,0,1,0.122,4.13702336255969,0
"Uzbekistan","UZB",704,0.01273,0.01985,0,0,0,0,0,0,1,3.40119738166216,17.3486728976994,3.9496835316263,1.64779710168759,1,1,1,0.41,0,1,2,2,3,0,0,0,0.577,0,0,0,1,0.256,4.14386341223096,0
"Cameroon","CAO",471,0.01264,0.02322,0,0,1,0,0,0,0,4.11087386417331,17.0943845119728,7.08519583356734,0.730339198197697,1,1,1,0.86,6.06378520868761,0,4,1,4,0,1,1,0.59,0,0,0,1,0.115,3.60022364196583,0
"Tajikistan","TAJ",702,0.01258,0.02102,0,0,0,0,0,0,1,3.40119738166216,16.0707568430617,5.44058820349418,4.49999951669761,1,1,1,0.51,0,0,3,1,2,0,0,0,0.123,0,0,0,1,-1.049,4.01225756480896,0
"Egypt","EGY",651,0.01228,0.02228,0,1,0,0,0,1,0,4.21950770517611,18.4437564695975,4.15932686861708,3.5696694750486,1,1,0,0.18,5.79301360838414,1,2,1,2,0,1,0,0.155,0,0,0,0,-0.349,3.5251469322342,0
"Cambodia","CAM",811,0.01158,0.02239,0,1,0,1,0,0,0,4.21950770517611,16.6320546206648,4.77493455452533,-3.14103480632566,0,1,0,0.21,0,1,3,0,3,0,0,0,0.348,0,0,0,1,-1.155,4.83899912343092,0
"Kenya","KEN",501,0.01157,0.02433,0,0,1,0,0,0,0,4.06044301054642,17.800250425544,5.64800849857718,-0.307497490498449,0,1,0,0.86,4.55387689160054,1,4,1,4,0,1,1,0.822,0,0,0,1,0.513,3.44734477194756,0
"Ivory Coast","IVO",437,0.01145,0.02209,0,1,1,0,0,0,0,4.11087386417331,17.0880513126681,7.65506368360186,1.81644146095073,1,1,0,0.82,0,1,4,1,4,0,1,1,0.62,0,0,0,0,0.581,3.83731916712355,0
"Burkina Faso","BFO",439,0.01129,0.0187,0,0,1,0,0,0,0,4.11087386417331,16.8554165467419,7.34166193719106,2.02238469536866,1,1,0,0.74,6.23441072571837,1,4,1,4,0,1,1,0.721,0,0,0,0,1.311,4.03821961929605,0
"Philippines","PHI",840,0.01126,0.01395,1,1,0,1,0,0,0,4.81218435537242,18.5121753354674,4.6475800154489,-9.57302987461006,1,1,1,0.24,5.85507192220243,1,3,1,3,0,1,1,0.497,0,0,0,1,-0.707,4.06345347573216,0
"Algeria","ALG",615,0.01076,0.02201,0,1,0,0,0,1,0,4.07753744390572,17.5963090621324,4.47213595499958,-5.48099193515836,1,1,0,0.34,3.25809653802148,1,3,1,2,0,1,1,0.599,0,0,0,1,0.874,3.81178381707926,0
"Bangladesh","BNG",771,0.01069,0.02267,0,1,0,0,0,0,1,3.91202300542815,18.9195717304107,5.05964425626941,2.37552165571601,0,1,0,0.05,0,1,3,1,3,0,1,1,0.341,0,0,0,0,-2.78,3.42633348363712,0
"Niger","NIR",436,0.01062,0.01739,0,0,1,0,0,0,0,4.11087386417331,17.0021373684129,6.83373982530796,1.50000554259205,1,1,0,0.65,6.24027584517077,1,4,1,3,0,1,1,0.809,0,0,0,0,0.851,3.63214816056472,0
"South Africa","SAF",560,0.0105,0.02092,0,1,1,0,0,0,0,4.70953020131233,17.8982663962333,5.24404424085076,-6.95960445218964,1,1,0,0.75,0,1,4,2,4,0,1,1,0.834,0,0,0,1,0.88,4.02530647335123,0
"Iran","IRN",630,0.01043,0.02343,0,1,0,0,0,1,0,6.25382881157547,18.2462434604312,3.46410161513775,1.66179375961026,0,1,1,0.67,3.3322045101752,0,2,1,1,0,1,0,0.419,0,0,0,1,0.042,3.58778767212124,0
"Venezuela","VEN",101,0.01026,0.0164,0,0,0,0,0,0,0,5.25227342804663,17.1631645015282,4.58257569495584,-0.14,1,1,1,0.5,0,1,3,0,3,0,0,1,0.295,0,0,0,1,1.499,-2.11359348897597,0
"Sierra Leone","SIE",451,0.01007,0.0184,0,1,1,0,0,0,0,4.0943445622221,15.8920710784853,8.99444272870754,-2.16249723146613,1,1,0,0.82,0,0,4,1,4,0,1,1,0.841,0,0,0,0,0.13,3.91517984694949,0
"Eritrea","ERI",531,0.009903,0.01994,0,0,1,0,0,0,0,3.3322045101752,15.6315394608242,5.52268050859363,0.05,0,1,1,0.65,0,1,0,1,1,1,0,0,0.111,0,0,1,1,1.127,-1.71484664710867,0
"Nepal","NEP",790,0.00967,0.01868,0,1,0,0,0,0,1,5.53338948872752,17.1875128125804,5.05964425626941,-2.08837869543885,1,1,0,0.66,0,1,4,1,3,0,1,0,0.829,0,0,0,1,0.304,3.70492809749698,0
"Nicaragua","NIC",93,0.009376,0.01659,0,1,0,0,0,0,0,5.20948615284142,15.7062936068157,3.78153408023781,-1.97732939329578,1,1,1,0.48,0,1,4,0,3,0,0,0,0.181,0,0,0,1,-0.462,4.49395771472866,0
"Russia","RUS",365,0.009083,0.01705,0,1,0,0,1,0,0,3.40119738166216,18.78604637424,2.21359436211787,-2.95127389914892,1,1,0,0.25,3.43398720448515,1,4,0,2,0,1,1,0.622,0,0,0,1,-0.612,3.83044585641534,0
"Laos","LAO",812,0.009051,0.01344,0,1,0,1,0,0,0,4.27666611901606,15.8000307942183,6.03324125159934,0.439513530709007,0,1,1,0.51,0,1,0,1,2,0,0,0,0.08,0,0,0,1,0.318,4.31871257585152,0
"Colombia","COL",100,0.009035,0.01624,0,1,0,0,0,0,0,5.30826769740121,17.7450371577797,3.43511280746353,-6.8473142056573,1,1,1,0.6,3.52636052461616,1,4,1,4,0,1,0,0.389,0,0,0,1,-1.181,3.51610525251976,0
"Morocco","MOR",600,0.008414,0.01698,0,0,0,0,0,1,0,4.17438726989564,17.4240081927461,4.27784992724149,-7.11723216887476,0,1,0,0.48,0,1,4,2,2,0,1,0,0.646,0,0,0,1,-0.066,4.36459144283652,0
"Azerbaijan","AZE",373,0.008053,0.01365,0,1,0,0,1,0,0,3.40119738166216,16.1290470647192,4.26614580154031,-4.30998913316057,1,1,1,0.2,8.94036723330517,1,4,0,2,0,1,1,0.303,0,0,0,1,-1.579,4.27892652154914,0
"Malawi","MAW",553,0.008043,0.01512,0,1,1,0,0,0,0,4.04305126783455,16.7667659890875,5.55877684387492,0.799999999999955,1,1,0,0.67,0,0,4,1,4,0,1,1,0.826,0,0,0,1,0.115,4.19877228670607,0
